
running 2776 tests
test auto_bump_done_tests::auto_bump_cluster_pr_without_review_story_is_noop ... ok
test auto_bump_done_tests::auto_bump_eligible_status_parity_with_oracle ... ok
test auto_bump_done_tests::auto_bump_env_flag_respects_opt_out ... ok
test auto_bump_done_tests::auto_bump_completes_needs_attention_spec_and_clears_failure_reason ... ok
test auto_bump_done_tests::auto_bump_completes_four_approved_review_stories_in_one_pass ... ok
test auto_bump_done_tests::auto_bump_flips_review_story_via_covers_chain ... ok
test auto_bump_done_tests::auto_bump_flips_cluster_pr_covered_specs_via_review_story ... ok
test auto_bump_done_tests::auto_bump_does_not_recomplete_reopened_spec_by_same_commit ... ok
test auto_bump_done_tests::auto_bump_flips_review_story_via_pr_number_match ... ok
test auto_bump_done_tests::auto_bump_ignores_unrelated_commits ... ok
test auto_bump_done_tests::auto_bump_leaves_approved_review_story_alone_without_merge ... ok
test auto_bump_done_tests::auto_bump_leaves_inprogress_review_story_alone_without_merge ... ok
test auto_bump_done_tests::auto_bump_leaves_review_story_alone_without_pr_suffix ... ok
test agent_registry::tests::live_agents_covering_cwd_counts_shared_live_worktrees_only ... ok
test auto_bump_done_tests::auto_bump_is_idempotent ... ok
test auto_bump_done_tests::auto_bump_picks_up_subject_refs_on_default_branch ... ok
test auto_bump_done_tests::is_plan_commit_subject_classifies_plan_commits ... ok
test auto_bump_done_tests::is_terminal_status_str_excludes_done ... ok
test auto_bump_done_tests::needs_attention_is_not_terminal ... ok
test auto_bump_done_tests::reconcile_status_already_completed_says_so_not_no_match ... ok
test auto_bump_done_tests::auto_bump_skips_when_not_on_default_branch ... ok
test auto_bump_done_tests::auto_bump_records_status_transition_in_history ... ok
test auto_bump_done_tests::reconcile_status_completed_spec_with_ref_is_noop_ok ... ok
test auto_bump_done_tests::auto_bump_ignores_plan_commit_trailers ... ok
test auto_bump_done_tests::reconcile_status_dry_run_does_not_write ... ok
test auto_bump_done_tests::reconcile_status_completes_approved_review_story ... ok
test auto_bump_done_tests::reconcile_status_flips_stuck_review_story_via_covers_chain ... ok
test auto_bump_done_tests::auto_bump_with_none_pre_sha_uses_head_50_fallback ... ok
test auto_bump_done_tests::reconcile_status_flips_node_aware_spec_by_agreed_id ... ok
test auto_bump_done_tests::reconcile_status_idempotent_on_completed_specs ... ok
test auto_bump_done_tests::set_status_from_str_done_lands_canonical ... ok
test auto_bump_done_tests::status_parsers_recognize_needs_attention ... ok
test auto_bump_done_tests::validate_status_input_recognizes_done ... ok
test auto_complete::tests::cache_lock_failure_reclassifies_to_shelvable ... ok
test auto_complete::tests::ci_red_stops_at_phase_2 ... ok
test auto_complete::tests::compensate_phase1_bump_when_bumped_no_lease_phase1_failed ... ok
test auto_complete::tests::database_locked_message_is_recognised ... ok
test auto_complete::tests::drain_batch_caps_at_max_failures_and_stops ... ok
test auto_complete::tests::drain_batch_chain_drains_two_batches_in_order ... ok
test auto_complete::tests::drain_batch_chain_failure_stops_before_next_batch ... ok
test auto_complete::tests::drain_batch_chain_max_caps_across_batches ... ok
test auto_complete::tests::drain_batch_chain_skips_empty_middle_batch ... ok
test auto_complete::tests::drain_batch_clean_drain_without_shelved_still_returns_drained_exit_0 ... ok
test auto_complete::tests::drain_batch_credits_actual_shipped_on_mismatch ... ok
test auto_complete::tests::drain_batch_empty_batch_is_a_clean_drain ... ok
test auto_complete::tests::drain_batch_escalated_member_advances_the_drain ... ok
test auto_complete::tests::drain_batch_failure_carries_failed_phase_exit_code ... ok
test auto_complete::tests::drain_batch_held_pauses_without_shipping ... ok
test auto_complete::tests::drain_batch_inconclusive_pauses_without_advancing ... ok
test auto_complete::tests::drain_batch_max_caps_the_drain ... ok
test auto_complete::tests::drain_batch_max_equal_to_size_reports_drained ... ok
test auto_complete::tests::drain_batch_mismatch_summary_is_self_consistent ... ok
test auto_complete::tests::drain_batch_phase1_failure_on_item2_leaves_item3_untouched ... ok
test auto_complete::tests::drain_batch_punt_and_shelve_in_same_drain_both_counted_separately ... ok
test auto_complete::tests::drain_batch_punted_member_advances_the_drain ... ok
test auto_complete::tests::drain_batch_shelves_failure_and_continues_to_next_member ... ok
test auto_complete::tests::drain_batch_skips_dependent_when_blocker_shelved ... ok
test auto_complete::tests::drain_batch_stall_guard_stops_a_non_advancing_queue ... ok
test auto_complete::tests::drain_batch_three_green_ships_all_three ... ok
test auto_complete::tests::drain_batch_unshelvable_failure_still_stops_the_drain ... ok
test auto_complete::tests::escalate_mode_from_flags_defaults_to_blocks ... ok
test auto_complete::tests::failure_injection_build_exits_6 ... ok
test auto_complete::tests::failure_injection_implementer_exits_1 ... ok
test auto_complete::tests::failure_injection_merge_exits_4 ... ok
test auto_bump_done_tests::reconcile_status_refuses_non_default_branch ... ok
test auto_complete::tests::failure_injection_reviewer_exits_3 ... ok
test auto_complete::tests::failure_injection_pull_exits_5 ... ok
test auto_complete::tests::fmt_duration_renders_minutes_and_seconds ... ok
test auto_complete::tests::gh_verify_backoff_schedule_steps ... ok
test auto_complete::tests::inconclusive_with_anthropic_hint_overrides_default ... ok
test auto_complete::tests::inconclusive_after_retries_shelves_and_advances_in_batch ... ok
test auto_complete::tests::lifecycle_skip_active_tokens ... ok
test auto_complete::tests::lifecycle_skip_banner_summary_lists_skipped_phases ... ok
test auto_complete::tests::lifecycle_skip_from_tags_parses_tags_case_insensitively ... ok
test auto_complete::tests::lifecycle_skip_trivial_implies_all_three ... ok
test auto_complete::tests::lifecycle_skip_unknown_lifecycle_tag_is_ignored ... ok
test auto_complete::tests::no_compensation_on_success ... ok
test auto_complete::tests::no_compensation_when_a_later_phase_failed ... ok
test auto_complete::tests::no_compensation_when_lease_acquired ... ok
test auto_complete::tests::no_compensation_when_parent_did_not_bump ... ok
test auto_complete::tests::no_human_mode_only_both_wants_headless_implementer ... ok
test auto_complete::tests::no_human_mode_parse_accepts_all_forms ... ok
test auto_complete::tests::no_human_mode_slug_round_trips_through_parse ... ok
test auto_complete::tests::orchestrate_advisor_resume_repunt_is_terminal ... ok
test auto_complete::tests::orchestrate_credits_shipped_when_pr_mismatches_dispatched ... ok
test auto_bump_done_tests::auto_bump_eligibility_matrix_for_direct_subject_refs ... ok
test auto_complete::tests::orchestrate_full_pipeline_runs_all_six_phases ... ok
test auto_complete::tests::orchestrate_genuine_phase1_failure_still_fails ... ok
test auto_complete::tests::orchestrate_held_at_phase1_is_not_a_failure ... ok
test auto_complete::tests::orchestrate_genuine_phase3_failure_still_fails ... ok
test auto_complete::tests::orchestrate_inconclusive_at_phase1_is_not_a_failure ... ok
test auto_complete::tests::orchestrate_no_build_skips_phase_6_only ... ok
test auto_complete::tests::orchestrate_no_ci_wait_skips_ci_keeps_rest ... ok
test auto_complete::tests::orchestrate_no_review_unreachable_reviewer_escalation_does_not_fire ... ok
test auto_complete::tests::orchestrate_no_review_skips_phase_3_and_runs_merge_pull_build ... ok
test auto_complete::tests::orchestrate_punt_advisor_escalates_blocks_skips_phases_2_to_6 ... ok
test auto_complete::tests::orchestrate_punt_advisor_escalates_defaults_resumes_with_default ... ok
test auto_complete::tests::orchestrate_reconciles_phase1_no_work_spec ... ok
test auto_complete::tests::orchestrate_punt_advisor_resolves_then_resume_runs_full_pipeline ... ok
test auto_complete::tests::orchestrate_no_mismatch_when_pr_credits_dispatched ... ok
test auto_complete::tests::orchestrate_reconciles_phase3_out_of_band_merge ... ok
test auto_complete::tests::orchestrate_resume_inconclusive_is_terminal_pause ... ok
test auto_complete::tests::orchestrate_reconciles_rejected_verdict_when_pr_merged ... ok
test auto_complete::tests::orchestrate_reviewer_escalated_to_human_skips_merge ... ok
test auto_complete::tests::orchestrate_reviewer_request_changes_still_fails ... ok
test auto_complete::tests::orchestrate_through_ci_stops_after_phase_2 ... ok
test auto_complete::tests::orchestrate_skip_build_stops_after_phase_5 ... ok
test auto_complete::tests::orchestrate_trivial_skips_ci_reviewer_and_build_keeps_merge_and_pull ... ok
test auto_complete::tests::phase_event_json_includes_exit_code_and_extra ... ok
test auto_complete::tests::phase_event_json_shape ... ok
test auto_complete::tests::phase_exit_code_equals_index ... ok
test auto_complete::tests::phase_from_index_round_trips ... ok
test auto_complete::tests::reconcile_failure_default_is_genuine_failure ... ok
test auto_complete::tests::recovery_hint_build_failed_names_cargo_check ... ok
test auto_complete::tests::recovery_hint_ci_failed_names_session_end ... ok
test auto_complete::tests::recovery_hint_ci_red_names_run_view_and_steal ... ok
test auto_complete::tests::recovery_hint_ci_red_without_run_id_falls_back_to_run_list ... ok
test auto_complete::tests::recovery_hint_ci_spawn_does_not_blame_ci ... ok
test auto_complete::tests::recovery_hint_ci_timeout_says_not_red ... ok
test auto_complete::tests::recovery_hint_implementer_failed_names_resume ... ok
test auto_complete::tests::recovery_hint_implementer_no_pr_says_open_a_pr ... ok
test auto_complete::tests::orchestrate_text_question_punt_routes_to_advisor_not_phase1_failure ... ok
test auto_complete::tests::recovery_hint_merge_failed_names_pr_view ... ok
test auto_complete::tests::recovery_hint_internal_routes_to_file_a_bug ... ok
test auto_complete::tests::recovery_hint_missing_tool_says_install_gh ... ok
test auto_complete::tests::recovery_hint_pull_failed_names_rebase_dry_run ... ok
test auto_complete::tests::recovery_hint_reviewer_failed_names_rework_verb ... ok
test auto_complete::tests::recovery_hint_reviewer_no_verdict_says_rerun_review ... ok
test auto_complete::tests::recovery_hint_spawn_names_each_phases_manual_fallback ... ok
test auto_complete::tests::recovery_hint_three_distinguishable_patterns_per_phase ... ok
test auto_complete::tests::orchestrate_through_merge_stops_after_phase_4 ... ok
test auto_complete::tests::recovery_hints_are_forge_aware_for_gitlab ... ok
test auto_complete::tests::recovery_hints_never_route_done_spec_through_queue_work ... ok
test auto_complete::tests::result_failure_carries_failed_phase_and_reason ... ok
test auto_complete::tests::result_rejected_verdict_records_reviewer_as_failed_phase ... ok
test auto_complete::tests::result_variant_caps_phase_durations_at_last_phase ... ok
test auto_complete::tests::result_success_records_every_phase_duration_in_order ... ok
test auto_complete::tests::resume_at_implementer_runs_the_full_pipeline ... ok
test auto_complete::tests::resume_at_pull_runs_only_pull_and_build ... ok
test auto_complete::tests::resume_at_merge_skips_implementer_ci_reviewer ... ok
test auto_complete::tests::reviewer_rejected_stops_at_phase_3 ... ok
test auto_complete::tests::reviewer_request_changes_stops_at_phase_3 ... ok
test auto_complete::tests::single_spec_inconclusive_still_pauses ... ok
test auto_complete::tests::unrecognized_lifecycle_tag_typo_guard ... ok
test auto_complete::tests::variant_last_phase ... ok
test auto_complete::tests::variant_parse_accepts_all_forms ... ok
test auto_complete::tests::reviewer_approved_proceeds_to_merge ... ok
test auto_complete::tests::variant_slug_matches_parse_spelling ... ok
test auto_complete::tests::verdict_parse_is_tolerant ... ok
test auto_complete::tests::watchdog_verdict_no_progress_then_ceiling ... ok
test auto_complete::tests::with_plan_prelude_is_plan_session_then_promote ... ok
test auto_complete::tests::with_plan_prelude_propagates_headless_to_plan_session ... ok
test auto_complete::tests::without_with_plan_prelude_is_empty_drain_only ... ok
test auto_complete_head_tests::all_in_flight_queue_is_not_drivable ... ok
test auto_complete_head_tests::drivable_statuses_are_pre_implementation_only ... ok
test auto_complete_head_tests::empty_queue_yields_empty_skip_list ... ok
test auto_complete_head_tests::picks_drivable_head_with_no_skips ... ok
test auto_complete_head_tests::skips_in_flight_head_to_next_eligible ... ok
test auto_complete_telemetry::tests::event_round_trips_through_json ... ok
test auto_complete_telemetry::tests::auto_rebase_events_round_trip_inside_run_event ... ok
test auto_complete_telemetry::tests::failure_histogram_breaks_count_ties_by_phase_index ... ok
test auto_complete_telemetry::tests::failure_histogram_ranks_phases_by_count ... ok
test auto_complete_telemetry::tests::is_failure_distinguishes_outcome ... ok
test auto_complete_telemetry::tests::log_path_ends_with_auto_complete_jsonl ... ok
test auto_complete_telemetry::tests::summarize_tallies_success_and_failure ... ok
test auto_complete_telemetry::tests::success_event_omits_failure_fields_from_json ... ok
test auto_complete_telemetry::tests::summary_success_rate_is_zero_when_empty ... ok
test awaiting_you::tests::empty_report_renders_nothing_and_returns_false ... ok
test awaiting_you::tests::header_count_collapses_findings_to_one_line_regardless_of_total ... ok
test awaiting_you::tests::json_shape_is_stable_and_includes_total ... ok
test awaiting_you::tests::five_mergeable_prs_render_under_cap_with_count_in_header ... ok
test awaiting_you::tests::mixed_gate_states_only_surface_the_mergeable_pass_no_changes_requested ... ok
test backlog::tests::analyze_report_json_shape_is_stable ... ok
test awaiting_you::tests::overflow_caps_at_five_unless_verbose ... ok
test backlog::tests::backlog_list_row_json_shape_is_stable ... ok
test backlog::tests::classify_pair_overlap_safe_when_no_shared_files ... ok
test backlog::tests::classify_pair_overlap_serialize_when_shared_file ... ok
test backlog::tests::classify_pair_overlap_unknown_when_either_empty ... ok
test backlog::tests::classify_risk_high_for_story_even_at_low_priority ... ok
test backlog::tests::classify_risk_low_for_lifecycle_trivial ... ok
test backlog::tests::classify_risk_high_when_blocked_by_present ... ok
test backlog::tests::classify_risk_low_for_papercut_task ... ok
test backlog::tests::classify_risk_medium_when_plan_owns_spec ... ok
test backlog::tests::classify_risk_unknown_for_uncategorized ... ok
test backlog::tests::merge_spec_csv_and_pair_dedupes ... ok
test backlog::tests::merge_spec_csv_and_pair_requires_two ... ok
test backlog::tests::collect_backlog_candidates_excludes_queued_and_terminal ... ok
test backlog::tests::select_pickable_gate_takes_precedence_over_risk ... ok
test backlog::tests::select_pickable_grooms_clean_low_risk_task ... ok
test backlog::tests::select_pickable_parks_epic_via_gate_reusing_burndown ... ok
test backlog::tests::select_pickable_low_ceiling_admits_only_low ... ok
test backlog::tests::select_pickable_parks_parking_tagged_via_gate ... ok
test backlog::tests::select_pickable_parks_pending_decision_and_blocked_via_gate ... ok
test backlog::tests::select_pickable_risk_ceiling_excludes_higher_risk ... ok
test backlog::tests::select_pickable_preserves_input_order ... ok
test backlog::tests::select_pickable_unknown_risk_admitted_only_at_high_ceiling ... ok
test binary_selection_tests::classify_sha_exact_case_insensitive ... ok
test binary_selection_tests::classify_sha_exact_when_prefix ... ok
test binary_selection_tests::parse_embedded_sha_full_form ... ok
test binary_selection_tests::parse_embedded_sha_missing_marker ... ok
test binary_selection_tests::parse_embedded_sha_short_form ... ok
test binary_selection_tests::parse_embedded_sha_unknown ... ok
test binary_selection_tests::parse_embedded_sha_too_short ... ok
test binary_selection_tests::parse_embedded_sha_with_dirty_marker ... ok
test block_allocation_reader_tests::auto_claim_summary_marks_configured_when_size_overridden ... ok
test block_allocation_reader_tests::auto_claim_summary_no_configured_tag_when_only_auto_claim_bool_set ... ok
test block_allocation_reader_tests::auto_claim_summary_marks_configured_when_threshold_overridden ... ok
test block_allocation_reader_tests::auto_claim_summary_reports_global_opt_out ... ok
test block_allocation_reader_tests::auto_claim_summary_per_type_re_enable_wins_over_global_off ... ok
test block_allocation_reader_tests::auto_claim_summary_shows_built_in_defaults_when_no_config ... ok
test block_allocation_reader_tests::auto_claim_summary_reports_per_type_opt_out ... ok
test block_allocation_reader_tests::global_auto_claim_summary_reports_global_opt_out ... ok
test block_allocation_reader_tests::global_auto_claim_summary_shows_built_in_defaults_when_no_config ... ok
test block_allocation_reader_tests::global_auto_claim_summary_surfaces_per_type_re_enable ... ok
test binary_selection_tests::classify_sha_unknown_when_git_unavailable ... ok
test block_allocation_reader_tests::global_auto_claim_summary_tags_configured_for_any_per_type_section ... ok
test block_allocation_reader_tests::read_block_allocation_config_handles_malformed_toml_gracefully ... ok
test block_allocation_reader_tests::global_auto_claim_summary_picks_up_star_override ... ok
test block_allocation_reader_tests::read_block_allocation_config_parses_global_opt_out ... ok
test block_allocation_reader_tests::read_block_allocation_config_ignores_negative_threshold ... ok
test block_allocation_reader_tests::read_block_allocation_config_returns_defaults_when_file_missing ... ok
test block_allocation_reader_tests::read_block_allocation_config_returns_defaults_when_section_missing ... ok
test block_allocation_reader_tests::read_block_allocation_config_parses_per_type_section ... ok
test auto_bump_done_tests::reconcile_status_replays_missed_bump ... ok
test branch_behind_main_tests::equal_to_main_returns_none ... ok
test branch_behind_main_tests::behind_main_returns_count ... ok
test branch_behind_main_tests::ahead_of_main_returns_none ... ok
test bug415_status_count_tests::fresh_store_counts_match_list ... ok
test bug415_status_count_tests::meta_rows_are_excluded_case_insensitively ... ok
test bug415_status_count_tests::real_requirement_types_are_counted ... ok
test bug422_ci_probe_tests::skips_only_when_non_tty_default_and_probe_would_run ... ok
test bug_229_display_matrix_tests::approved_supersedes_lingering_lease ... ok
test bug_229_display_matrix_tests::open_pr_ci_done_awaits_review ... ok
test bug_229_display_matrix_tests::open_pr_ci_running ... ok
test bug_229_display_matrix_tests::open_pr_review_approved ... ok
test bug_229_display_matrix_tests::open_pr_under_review_by_lease ... ok
test bug_229_display_matrix_tests::open_pr_under_review_by_story ... ok
test bug_231_findings_promote_tests::add_queue_for_any_is_unrouted ... ok
test bug_231_findings_promote_tests::add_queue_routes_to_explicit_role_canonicalized ... ok
test bug_231_findings_promote_tests::add_queue_routes_to_implementer_by_default ... ok
test branch_behind_main_tests::missing_main_returns_none ... ok
test branch_behind_main_tests::diverged_returns_count ... ok
test bug_231_findings_promote_tests::collision_predicate_flags_default_foreign_machine ... ok
test bug_231_findings_promote_tests::collision_predicate_ignores_non_default_user ... ok
test bug_231_findings_promote_tests::collision_predicate_ignores_unknown_fingerprints ... ok
test bug_231_findings_promote_tests::assign_to_self_sends_no_notification ... ok
test bug_231_findings_promote_tests::collision_predicate_silent_when_all_same_machine ... ok
test bug_231_findings_promote_tests::current_user_id_override_wins ... ok
test bug_231_findings_promote_tests::extract_mentions_picks_handles_ignores_emails_and_code ... ok
test bug_231_findings_promote_tests::current_user_id_prefers_aida_user_env ... ok
test bug_231_findings_promote_tests::inbox_identities_stable_name_only_when_no_agent_type ... ok
test bug_231_findings_promote_tests::inbox_identities_unions_stable_name_and_agent_type ... ok
test bug_231_findings_promote_tests::mailbox_mutation_allowed_for_sender_or_operator_only ... ok
test bug_231_findings_promote_tests::mailbox_policy_act_on_mail_typo_falls_back_to_safe_default ... ok
test bug_231_findings_promote_tests::mailbox_policy_defaults_allowed_and_reads_false_overrides ... ok
test bug_231_findings_promote_tests::mention_snippet_collapses_and_truncates ... ok
test bug_231_findings_promote_tests::message_to_agent_type_reaches_inbox ... ok
test bug_231_findings_promote_tests::promote_honors_for_override ... ok
test bug_231_findings_promote_tests::promote_routes_to_implementer_queue_by_default ... ok
test bug_231_findings_promote_tests::promote_surfaces_queue_add_failure ... ok
test bug_231_findings_promote_tests::queue_at_filing_allows_approved ... ok
test bug_231_findings_promote_tests::queue_at_filing_refuses_downgraded_as_authority ... ok
test bug_231_findings_promote_tests::queue_at_filing_refuses_explicit_draft ... ok
test bug_231_findings_promote_tests::queue_at_filing_refuses_non_approved_status ... ok
test bug_231_findings_promote_tests::queue_add_then_list_same_shell_is_consistent ... ok
test bug_231_findings_promote_tests::render_mailbox_notice_frames_count_urgency_overflow_and_guidance ... ok
test bug_231_findings_promote_tests::resolve_node_name_flag_override_wins ... ok
test bug_231_findings_promote_tests::resolve_node_name_non_interactive_uses_default ... ok
test bug_231_findings_promote_tests::resolve_node_name_rejects_invalid ... ok
test bug_231_findings_promote_tests::whoami_user_source_falls_through_to_user_then_username_then_default ... ok
test bug_231_findings_promote_tests::whoami_user_source_prefers_aida_user ... ok
test bug_257_gh_stderr_network_classifier_tests::classification_is_case_insensitive ... ok
test bug_257_gh_stderr_network_classifier_tests::dial_dns_tls_error_families_are_network ... ok
test bug_257_gh_stderr_network_classifier_tests::githubstatus_pointer_alone_is_network ... ok
test bug_257_gh_stderr_network_classifier_tests::non_network_failures_are_not_network ... ok
test bug_257_gh_stderr_network_classifier_tests::observed_origin_incident_stderr_is_network ... ok
test bug_266_anthropic_api_outage_classifier_tests::api_error_5xx_family_is_outage ... ok
test bug_266_anthropic_api_outage_classifier_tests::classification_is_case_insensitive ... ok
test bug_266_anthropic_api_outage_classifier_tests::clean_session_log_is_not_outage ... ok
test bug_266_anthropic_api_outage_classifier_tests::non_outage_failures_are_not_outage ... ok
test bug_266_anthropic_api_outage_classifier_tests::overloaded_keyword_alone_is_outage ... ok
test bug_266_anthropic_api_outage_classifier_tests::reason_excerpt_is_bounded ... ok
test bug_266_anthropic_api_outage_classifier_tests::stream_timeout_is_outage ... ok
test bug_266_anthropic_api_outage_classifier_tests::upstream_connect_error_is_outage ... ok
test bug_266_anthropic_api_outage_classifier_tests::verbatim_529_overloaded_is_outage ... ok
test bug_298_prune_tests::detect_obe_aida_scaffold_files_flags_only_obsolete ... ok
